author,posted_on,comment,text
"Brandon of Indianapolis, IN",7/31/2000,,"Then I arranged to pick up the software and install it myself. After installing it, I found out that they didn't install a ethernet card or provide one which is supposed to come at no charge to the consumer. I offered to pick one up and install it myself, but they declined. Now they want me to schedule a 6th appointment. I am so tired of them pushing me around. Since I am forced to do cable through Comcast, there isn't a whole lot to do and they seem to be taking advantage of that. Can you help me on this?    "
"Renee of Philadelphia, PA",6/7/2001,,"I ordered cable internet service from Comcast Cable in December. We received our self installation kit, but were never able to get it set up properly. After several attempts at installing it, we basically gave up, no longer interested in the service. Admittedly, we were lax about having the service officially shut off. But since we never actually received service, we didn't think that we would be charged for the service. Renee should complain in writing to the Philadelphia city agency that licenses Comcast.  "
"Michael of Detroit, MI",6/25/2001,,"I ordered cable Internet service from Comcast on May 2nd. I knew I would be one of the first people in my market to get the service because it had not been available previously. I was sent a self installation kit as I requested, but then received a call saying that Self installation was not supported in Detroit, and I'd need an appointment to have an installer come out. So I promptly cancelled my service that day. Then I finally got a call from someone who actually works for Comcast in Detroit. He told me I never should have been sold a modem in the beginning of May, and that they are still going through detroit upgrading the equipment in some neighborhoods. Why doesn't anyone selling the modems know this? Why have they wasted ao much of my time? There's not one person at Comcast that has any clue what anyone else is doing. The national call center, which is where all calls for technical assistance are directed, is completely useless. They don't knoe what's going on in most local areas. Unfortunately for me, like many others, Comcast is the only choice for cable internet in my area."
"Andrew of Sunnyvale, CA",3/3/2003,,"We want to make others aware that Comcast is using poor communication and misleading information to their customers, and prima facia intend to charge cusomters more than agreed."
"Milton of Sacramento, CA",3/14/2004,,"I use the internet for various financial transactions . So far I have managed to work around this poor service and have not lost money, only time. When the comes that it finally does cause me a financial lose, I will take them to court."
"Bill of Burnsville, MN",4/29/2004,,"The advice from technicians has been everything from removing ribbon cables, disabling ALL firewalls, virus scans, etc. (by the way I have a brand new computer with plenty of memory) to the suggestion that my new computer doesn't have enough memory!!!! Dell 8200 series. I have received a host of generic emails, waited for hours on the telephone only to constantly receive a patronizing ""ping"" report and NO real help. I simply do not get what I pay for."
"Amie of Richmond, VA",5/4/2004,,"Comcast has been a constant problem since it took over our cable, telephone and internet services over 1 year ago from AT&T.; There has been intermittent service eruptions, poor picture quality and billing for services that we do not use and have not ordered. One issue I have is that Comcast is trying to force us to order its family networking service because we have a laptop in addition to our work station. I am so tired of this."
"Chilly of Centralia, WA",5/21/2004,,"For well over 3 years, my family and I enjoyed the benefits of having a home network system between just 2 computers, sitting side by side. File sharing across the network is one way we used our network. In our family, also, we enjoyed playing games with each other across the network. This, after all, seemed to be a safe way to allow our kids to enjoy the world of multiplayer gaming, but without the concerns of them interacting with strangers out on the web in gaming chat rooms.About 1 years ago, my wife enrolled in an online college program. She tried to manage with our mere telephone modem Internet access, but for all the obvious reasons (continuous disconnects, high internet traffic, etc.), it became necessary to get high-speed (HS) Internet access - something more reliable for her educational needs. With Comcast having recently dug up our street and installed the lines, and because they are the only TV cable company in our area, they seamed to be our only realistic option for HS Internet access.The Comcast installation technician was a gentleman, and was quite good, respectful, and new exactly what needed to be done. He installed one modem, then from that modem was attached our network hub. This gave both computers immediate Internet access. This was cool! After he left, and once our kids came home from school, we found, however, that we no longer could play games across the network. None of our file sharing or printer sharing capabilities existed anymore. We could go online and play multiplayer games just fine, individually, but not simultaneously. Though being a little PC hardware and software savvy ourselves, we still could not find a way to regain our home network capabilities.In frustration, and after a week of doing research, I learned something very disturbing - Comcast software, used for their HS Internet modems, automatically disables/sabotages home networks where they are installed; for another monthly fee, Comcast will come back (another day of work lost for me) and install their router that will enable my home network to work again, which, if you recall, worked just fine before they messed it up. Now remember, their technician installed one modem, connected our hub to it, and gave Internet access to both home PCs. No one said that our home network gaming and file sharing days were going to be over, UNLESS we paid them a monthly fee to fix something THEY disabled.OK, we may not be techno junkies, but were not entirely ignorant either. We went out to our local Radio Shack and bought a router. Problem solved. We got our network back, without loosing our Internet, and without being blackmailed into paying Comcast to fix something they  messed up. I really feel that Comcast was not forthcoming in explaining to this customer just how their HS Internet access was going to affect our existing home network. And, Comcast would not make right the problem that their hardware/software caused. Comcasts only solution was for them to come out, again, and install a router. And then, if that wasnt enough, they wanted to charge us $4.99/month/computer in our home that was on that network."
"Marci of Commerce Twp, MI",5/31/2004,,"Damage Resulting: A terrible-looking orange wire running across my property, that I am concerened my children or other neighbor children are playing with."
"Ash of Middleton, MA",6/1/2004,,"Honestly I'm switching to dish and DSL with a $40. Thats a nice saving is you ask me. One last thng I forgot to mention, despite 2 tech visit my lower channels are still fuzzy (despit new wiring and numerous checks to the line)."
"Joyce of Denver, CO",3/2/2006,,"I subscribed to Comcast's internet service. For the longest time I received nothing but spam. So I set up spam filters against **, Mortgages, etc. Then all of a sudden I was no longer receiving emails from family and friends. I allowed my daughter to use one of my mailboxes so that she could receive job alerts or email responses for applications for employment. Again, all spams but no job alerts. I contacted the so-called tech support and I got the run around several times. The excuse I got from Comcast is that there are filters that is preventing the emails. My question is this, why would a ** filter prevent emails from Monster.com? I asked this question and I was told that even though that there is a filter for Viagra, this filter can delete all emails. So I deleted the filters from my account and my daughter's account. Still no emails, but an occasional spam. Hmmm. I wonder what crook is lining the pockets of Comcast? I sent an email to the local Executive Assistant telling her that if this problem is not solved within 48 hours, I will cancel my account and sue Comcast. I also told the Executive Assistant that I will contact Qwest and order their DSL service. Fifteen minutes later my daughter receives almost 400 emails. Now all of a sudden she is receiving her job alerts. Over half of the emails were potential job prospects that she lost out on because of the idiots at Comcast. Now here we are back to square one. No more emails but a trickle of spam about two to three times a day. I have called the Corporate Office at least 40 times and still no solution to the problem. I have contacted the Office of Telecommunications and still nothing."
"Autumn of Knoxville, TN",3/6/2006,,"Ordered ""On Demand"" movie for the 1st time in Nov.2005. I get the bill, and there are charges for the movie I ordered, plus 2 additional movies. The 2 additional movies were ************movies, and one was in Spanish, and I don't even speak Spanish. And I was out of town when these movies were supposedly ordered. I called Comcast and had to wait for a supervisor to call me back 3 days later. The charges were finally removed, but they swore up and down that those movies were ordered thru my remote even though no one was in the house. So, here we are 3 months later, and I ordered 2 ""On Demand"" movies last month. Again, I was charged for 2 ************ movies that I never ordered. I called in and  talked to a smartbutt named Mike (refused to give last name or last initial) and he says that I ordered these movies. Again, I ask to speak to a supervisor, and again I am told they will have to call me back because they are ""busy doing other things"", according to Mike. I am irate, this proves that Comcast does not care about handling customer concerns, all they care about is making extra money.  I believe they chose to put ************ movies on my bill for 2 reasons: 1. they cost more than regular movies and 2. they think that people will be too embarassed to call in and dispute the charges. The management and representatives at Comcast should be ashamed to work for such an immoral company. I am trying to find other reasonable cable and internet service in my area, but Comcast has a lock on the market here. Thankfully I will be moving in the next 6-9 months anyway."
"Rich of South Hadley, MA",3/8/2006,,"Comcast was contacted about installong a cable modem for acess to the internet. Installer spent more time on his cell phone yelling at his girlfriend then he did with the install. Surprisingly(?), the modem refused to work, so he uninstalled all my Anti-virus and Firewall programs. Unfortunately, I had to work so my mother, who knows nothing about computers, was left to deal with this fool. I came home to a mess, the hard-drive was totally corrupted and full of viruses and spy-ware."
"Brandye of San Ramon, CA",3/12/2006,,"Last year, we bought the Nascar In Car package from Comcast.  They charge you 99.00 for the season but half of the season it didn't work so I would sit on the phone pushing buttons waiting to speak to a human being and time I would get to speak to one they would have to turn off my box and reset it.  By this time the race is about half over. This year we started with speaking to a supervisor and talking to her about the problem she assured me that it should be better well guess what.....it's NOT working, and of course on the weekend when the race is on NOBODY is at work at Comcast.  But the will credit me $5.00."
"Paul of Chicago, IL",3/12/2006,,"Their billing department is horrid. If you decide to use comcast (or are forced to), make sure you keep an eye on every single item on your bill. Also, when you sign up or change something on your account, make SURE you get a quoted price and the name of the rep. So far everytime I changed the services with them they have screwed it up. they bill it totlly incorrect, and when you call back they have no clue who did what. the relationship between the field technicians and CSA's is non existant, and even from the technician's say its horrible.   as a comcast customer, having cable tv and cable internet... you are actually treated like two different customers. Cable internet techs have no training on cable tv, and vise versa. So when you are trying to cooridinate billing, you have to switch back and forth between these departments, who you have to explain you're deal over and over again. i complained about his and they have this wonderful (sarc) Retension department. i believe these are people who have worked both tv and internet and know the packages and prices well, cause obviously no one there has ANY technical knowledge about the service.   my advice is to keep your changes and transactions and SIMPLE as possible."
"Bill of Dallas, TX",3/14/2006,,I canceled my cable tv on 1/28/06. I was told at that time that I have acredit coming to me. I have since been contacted numerous times about my bill being deliquent. I was then told that I had called and re-instated my service. A call that I did not make. I recieved a call on 3/13/06 confirming that a credit will be issued. I recieved call on 3/14/06 saying that I was delinquent in paying my bill. I told themthat they were harrassing me and that if it continued I would contact an attorney. they are making it very hard to cancel their service.
